snapshot,Existing_Coal_Plant,Existing_Gas_Plant_1,Existing_Gas_Plant_2,Existing_Oil_Peaker,Existing_Solar_Farm,Existing_Wind_Farm,New_Solar,New_Wind,New_Gas_CCGT
0,500.0,15.0,-0.0,-0.0,-0.0,70.0,-0.0,-0.0,-0.0
1,470.0,-0.0,-0.0,-0.0,-0.0,76.0,-0.0,-0.0,-0.0
2,440.0,-0.0,-0.0,-0.0,-0.0,80.0,-0.0,-0.0,-0.0
3,423.0,-0.0,-0.0,-0.0,-0.0,84.0,-0.0,-0.0,-0.0
4,418.5,-0.0,-0.0,-0.0,-0.0,82.0,-0.0,-0.0,-0.0
5,437.0,-0.0,-0.0,-0.0,5.0,78.0,-0.0,-0.0,-0.0
6,493.0,-0.0,-0.0,-0.0,20.0,72.0,-0.0,-0.0,-0.0
7,500.0,65.0,-0.0,-0.0,45.0,66.0,-0.0,-0.0,-0.0
8,500.0,140.0,-0.0,-0.0,80.0,60.0,-0.0,-0.0,-0.0
9,500.0,169.0,-0.0,-0.0,120.0,56.00000000000001,-0.0,-0.0,-0.0
10,500.0,175.0,-0.0,-0.0,155.0,54.0,-0.0,-0.0,-0.0
11,500.0,175.5,-0.0,-0.0,182.5,52.0,-0.0,-0.0,-0.0
12,500.0,178.0,-0.0,-0.0,195.0,50.0,-0.0,-0.0,-0.0
13,500.0,170.5,-0.0,-0.0,187.5,52.0,-0.0,-0.0,-0.0
14,500.0,171.0,-0.0,-0.0,170.0,56.00000000000001,-0.0,-0.0,-0.0
15,500.0,181.5,-0.0,-0.0,142.5,60.0,-0.0,-0.0,-0.0
16,500.0,200.0,-0.0,-0.0,105.0,66.0,-0.0,-0.0,-0.0
17,500.0,262.5,-0.0,-0.0,62.5,72.0,-0.0,-0.0,-0.0
18,500.0,300.0,48.0,-0.0,25.0,76.0,-0.0,-0.0,-0.0
19,500.0,300.0,90.0,-0.0,5.0,80.0,-0.0,-0.0,-0.0
20,500.0,300.0,54.0,-0.0,-0.0,82.0,-0.0,-0.0,-0.0
21,500.0,300.0,4.0,-0.0,-0.0,80.0,-0.0,-0.0,-0.0
22,500.0,204.0,-0.0,-0.0,-0.0,76.0,-0.0,-0.0,-0.0
23,500.0,104.0,-0.0,-0.0,-0.0,72.0,-0.0,-0.0,-0.0
