snapshot,Coal_Plant,Gas_Plant_1,Gas_Plant_2,Oil_Peaker,Solar_Farm,Wind_Farm
0,380.0,0.0,0.0,0.0,-0.0,70.0
1,344.0,0.0,0.0,0.0,-0.0,76.0
2,320.0,0.0,0.0,0.0,-0.0,80.0
3,306.0,0.0,0.0,0.0,-0.0,84.0
4,303.0,0.0,0.0,0.0,-0.0,82.0
5,317.0,0.0,0.0,0.0,5.0,78.0
6,358.0,0.0,0.0,0.0,20.0,72.0
7,409.0,0.0,0.0,0.0,45.0,66.0
8,460.0,0.0,0.0,0.0,80.0,60.0
9,474.0,0.0,-7.105427357601002e-15,0.0,120.0,56.00000000000001
10,471.0,0.0,0.0,0.0,155.0,54.0
11,465.5,0.0,0.0,0.0,182.5,52.0
12,465.0,0.0,0.0,0.0,195.0,50.0
13,460.5,0.0,0.0,0.0,187.5,52.0
14,464.0,0.0,0.0,0.0,170.0,56.00000000000001
15,477.5,0.0,0.0,0.0,142.5,60.0
16,499.0,0.0,0.0,0.0,105.0,66.0
17,465.5,90.0,0.0,0.0,62.5,72.0
18,500.0,129.0,0.0,0.0,25.0,76.0
19,500.0,165.0,0.0,0.0,5.0,80.0
20,500.0,138.0,0.0,0.0,-0.0,82.0
21,500.0,100.0,0.0,0.0,-0.0,80.0
22,434.0,90.0,0.0,0.0,-0.0,76.0
23,448.0,0.0,0.0,0.0,-0.0,72.0
